;devTeam;key;lastMove;observationDate;sp;type
193;Team O;TUH-999;25/03/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
194;Team O;TUH-997;25/09/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
195;Team O;TUH-996;11/09/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
196;Team S;TUH-994;10/09/2019;2020-05-22 15:04:30.182284;1.0;Story
197;Team M;TUH-993;23/10/2019;2020-05-22 15:04:30.182284;2.0;Story
198;Team O;TUH-992;18/09/2019;2020-05-22 15:04:30.182284;1.0;Ops Task
199;Team S;TUH-991;26/08/2019;2020-05-22 15:04:30.182284;0.5;Story
200;Team S;TUH-990;06/11/2019;2020-05-22 15:04:30.182284;2.0;Story
201;Team S;TUH-989;06/11/2019;2020-05-22 15:04:30.182284;2.0;Story
202;Team S;TUH-988;23/10/2019;2020-05-22 15:04:30.182284;3.0;Story
203;Team S;TUH-987;23/10/2019;2020-05-22 15:04:30.182284;3.0;Story
204;Team O;TUH-977;28/08/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
205;Team O;TUH-975;22/04/2020;2020-05-22 15:04:30.182284;5.0;Ops Task
206;Team S;TUH-970;22/08/2019;2020-05-22 15:04:30.182284;2.0;Story
207;Team O;TUH-969;07/10/2019;2020-05-22 15:04:30.182284;5.0;Ops Task
208;Team O;TUH-968;16/01/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
209;Team O;TUH-967;14/08/2019;2020-05-22 15:04:30.182284;1.0;Bug
210;Team O;TUH-962;09/08/2019;2020-05-22 15:04:30.182284;1.0;Ops Task
211;Team M;TUH-957;25/09/2019;2020-05-22 15:04:30.182284;3.0;Story
212;Team M;TUH-955;19/09/2019;2020-05-22 15:04:30.182284;3.0;Story
213;Team O;TUH-954;14/08/2019;2020-05-22 15:04:30.182284;1.0;Ops Task
214;Team S;TUH-943;05/12/2019;2020-05-22 15:04:30.182284;1.0;Story
215;Team S;TUH-920;22/04/2020;2020-05-22 15:04:30.182284;3.0;Story
216;Team S;TUH-919;20/05/2020;2020-05-22 15:04:30.182284;2.0;Story
217;Team S;TUH-917;06/04/2020;2020-05-22 15:04:30.182284;3.0;Story
218;Team M;TUH-910;11/03/2020;2020-05-22 15:04:30.182284;2.0;Story
219;Team M;TUH-907;23/04/2020;2020-05-22 15:04:30.182284;3.0;Story
220;Team M;TUH-906;11/03/2020;2020-05-22 15:04:30.182284;1.0;Story
221;Team M;TUH-905;07/05/2020;2020-05-22 15:04:30.182284;2.0;Story
222;Team M;TUH-904;24/04/2020;2020-05-22 15:04:30.182284;2.0;Story
223;Team M;TUH-903;23/04/2020;2020-05-22 15:04:30.182284;5.0;Story
224;Team M;TUH-902;24/04/2020;2020-05-22 15:04:30.182284;1.0;Story
225;Team M;TUH-901;23/04/2020;2020-05-22 15:04:30.182284;5.0;Story
226;Team M;TUH-900;23/04/2020;2020-05-22 15:04:30.182284;5.0;Story
227;Team M;TUH-899;26/03/2020;2020-05-22 15:04:30.182284;5.0;Story
228;Team M;TUH-897;18/05/2020;2020-05-22 15:04:30.182284;2.0;Story
229;Team M;TUH-896;19/03/2020;2020-05-22 15:04:30.182284;3.0;Story
230;Team M;TUH-895;07/05/2020;2020-05-22 15:04:30.182284;1.0;Story
231;Team M;TUH-890;20/11/2019;2020-05-22 15:04:30.182284;3.0;Story
232;Team S;TUH-881;15/01/2020;2020-05-22 15:04:30.182284;1.0;Story
233;Team M;TUH-878;29/10/2019;2020-05-22 15:04:30.182284;3.0;Story
234;Team M;TUH-873;31/10/2019;2020-05-22 15:04:30.182284;1.0;Story
235;Team M;TUH-872;04/11/2019;2020-05-22 15:04:30.182284;5.0;Story
236;Team M;TUH-871;14/11/2019;2020-05-22 15:04:30.182284;3.0;Story
237;Team M;TUH-867;05/12/2019;2020-05-22 15:04:30.182284;3.0;Story
238;Team M;TUH-864;18/11/2019;2020-05-22 15:04:30.182284;2.0;Story
239;Team S;TUH-859;13/02/2020;2020-05-22 15:04:30.182284;3.0;Story
240;Team M;TUH-858;23/10/2019;2020-05-22 15:04:30.182284;5.0;Story
241;Team M;TUH-855;05/12/2019;2020-05-22 15:04:30.182284;3.0;Story
242;Team M;TUH-854;05/11/2019;2020-05-22 15:04:30.182284;3.0;Story
243;Team O;TUH-674;01/08/2019;2020-05-22 15:04:30.182284;0.5;Ops Task
244;Team O;TUH-673;02/08/2019;2020-05-22 15:04:30.182284;1.0;Ops Task
245;Team O;TUH-672;01/08/2019;2020-05-22 15:04:30.182284;0.5;Bug
246;Team O;TUH-671;01/10/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
247;Team S;TUH-670;05/12/2019;2020-05-22 15:04:30.182284;2.0;Story
248;Team O;TUH-662;20/12/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
249;Team O;TUH-661;07/08/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
250;Team S;TUH-654;13/08/2019;2020-05-22 15:04:30.182284;3.0;Story
251;Team O;TUH-650;09/03/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
252;Team O;TUH-647;14/08/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
253;Team S;TUH-646;31/07/2019;2020-05-22 15:04:30.182284;5.0;Story
254;Team O;TUH-636;18/10/2019;2020-05-22 15:04:30.182284;5.0;Ops Task
255;Team O;TUH-634;12/07/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
256;Team O;TUH-633;31/07/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
257;Team O;TUH-632;15/07/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
258;Team O;TUH-630;15/07/2019;2020-05-22 15:04:30.182284;1.0;Ops Task
259;Team O;TUH-629;17/07/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
260;Team O;TUH-628;28/08/2019;2020-05-22 15:04:30.182284;5.0;Ops Task
261;Team O;TUH-627;03/07/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
262;Team O;TUH-626;01/10/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
263;Team O;TUH-625;18/09/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
264;Team O;TUH-624;11/09/2019;2020-05-22 15:04:30.182284;5.0;Ops Task
265;Team O;TUH-623;11/09/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
266;Team O;TUH-622;07/10/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
267;Team O;TUH-621;09/10/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
268;Team O;TUH-620;11/09/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
269;Team O;TUH-619;10/09/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
270;Team O;TUH-618;01/10/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
271;Team O;TUH-617;19/09/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
272;Team O;TUH-616;18/09/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
273;Team O;TUH-615;08/10/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
274;Team O;TUH-614;08/10/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
275;Team O;TUH-609;03/07/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
276;Team O;TUH-608;17/07/2019;2020-05-22 15:04:30.182284;1.0;Ops Task
277;Team O;TUH-607;31/07/2019;2020-05-22 15:04:30.182284;5.0;Ops Task
278;Team O;TUH-606;03/07/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
279;Team O;TUH-603;20/03/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
280;Team O;TUH-601;09/03/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
281;Team O;TUH-597;10/03/2020;2020-05-22 15:04:30.182284;;Ops Task
282;Team O;TUH-596;10/03/2020;2020-05-22 15:04:30.182284;;Ops Task
283;Team O;TUH-594;20/11/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
284;Team O;TUH-591;20/03/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
285;Team O;TUH-590;11/09/2019;2020-05-22 15:04:30.182284;1.0;Ops Task
286;Team O;TUH-589;23/10/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
287;Team O;TUH-587;17/07/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
288;Team O;TUH-586;31/07/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
289;Team O;TUH-585;21/06/2019;2020-05-22 15:04:30.182284;1.0;Ops Task
290;Team O;TUH-584;21/10/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
291;Team O;TUH-583;29/11/2019;2020-05-22 15:04:30.182284;5.0;Ops Task
292;Team M;TUH-580;25/09/2019;2020-05-22 15:04:30.182284;3.0;Story
293;Team O;TUH-578;28/08/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
294;Team O;TUH-577;09/08/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
295;Team O;TUH-576;19/06/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
296;Team O;TUH-575;17/06/2019;2020-05-22 15:04:30.182284;1.0;Ops Task
297;Team O;TUH-574;17/06/2019;2020-05-22 15:04:30.182284;0.5;Ops Task
298;Team O;TUH-573;01/07/2019;2020-05-22 15:04:30.182284;1.0;Ops Task
299;Team O;TUH-560;20/05/2020;2020-05-22 15:04:30.182284;1.0;Ops Task
300;Team O;TUH-554;08/04/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
301;Team O;TUH-553;08/04/2020;2020-05-22 15:04:30.182284;1.0;Ops Task
302;Team S;TUH-550;24/09/2019;2020-05-22 15:04:30.182284;5.0;Story
303;Team M;TUH-549;11/09/2019;2020-05-22 15:04:30.182284;2.0;Story
304;Team M;TUH-532;18/12/2019;2020-05-22 15:04:30.182284;3.0;Story
305;Team M;TUH-416;27/02/2020;2020-05-22 15:04:30.182284;2.0;Task
306;Team M;TUH-414;12/02/2020;2020-05-22 15:04:30.182284;5.0;Task
307;Team O;TUH-331;17/12/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
308;Team S;TUH-329;04/12/2019;2020-05-22 15:04:30.182284;3.0;Story
309;Team S;TUH-320;04/12/2019;2020-05-22 15:04:30.182284;2.0;Story
310;Team S;TUH-319;04/12/2019;2020-05-22 15:04:30.182284;3.0;Story
311;Team S;TUH-318;04/12/2019;2020-05-22 15:04:30.182284;1.0;Story
312;Team S;TUH-316;02/12/2019;2020-05-22 15:04:30.182284;5.0;Story
313;Team S;TUH-312;20/11/2019;2020-05-22 15:04:30.182284;1.0;Story
314;Team M;TUH-295;24/09/2019;2020-05-22 15:04:30.182284;1.0;Story
315;Team M;TUH-292;08/10/2019;2020-05-22 15:04:30.182284;2.0;Story
316;Team M;TUH-284;25/09/2019;2020-05-22 15:04:30.182284;5.0;Story
317;Team O;TUH-282;22/04/2020;2020-05-22 15:04:30.182284;1.0;Ops Task
318;Team O;TUH-278;29/04/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
319;Team O;TUH-274;07/05/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
320;Team O;TUH-273;06/05/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
321;Team O;TUH-270;06/05/2020;2020-05-22 15:04:30.182284;1.0;Ops Task
322;Team O;TUH-269;07/05/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
323;Team O;TUH-267;09/03/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
324;Team S;TUH-259;23/10/2019;2020-05-22 15:04:30.182284;3.0;Story
325;Team S;TUH-257;23/10/2019;2020-05-22 15:04:30.182284;2.0;Story
326;Team S;TUH-256;14/11/2019;2020-05-22 15:04:30.182284;3.0;Story
327;Team S;TUH-255;23/10/2019;2020-05-22 15:04:30.182284;5.0;Story
328;Team S;TUH-225;28/08/2019;2020-05-22 15:04:30.182284;2.0;Story
329;Team S;TUH-224;28/08/2019;2020-05-22 15:04:30.182284;2.0;Story
330;Team S;TUH-222;10/09/2019;2020-05-22 15:04:30.182284;2.0;Story
331;Team S;TUH-221;24/09/2019;2020-05-22 15:04:30.182284;2.0;Story
332;Team S;TUH-220;24/09/2019;2020-05-22 15:04:30.182284;2.0;Story
333;Team S;TUH-219;10/09/2019;2020-05-22 15:04:30.182284;1.0;Story
334;Team S;TUH-218;24/09/2019;2020-05-22 15:04:30.182284;2.0;Story
335;Team S;TUH-217;10/09/2019;2020-05-22 15:04:30.182284;2.0;Story
336;Team S;TUH-216;10/09/2019;2020-05-22 15:04:30.182284;2.0;Story
337;Team S;TUH-214;10/09/2019;2020-05-22 15:04:30.182284;2.0;Story
338;Team S;TUH-213;28/08/2019;2020-05-22 15:04:30.182284;1.0;Story
339;Team S;TUH-212;12/08/2019;2020-05-22 15:04:30.182284;1.0;Story
340;Team S;TUH-211;14/08/2019;2020-05-22 15:04:30.182284;2.0;Story
341;Team S;TUH-208;14/08/2019;2020-05-22 15:04:30.182284;2.0;Story
342;Team S;TUH-207;12/08/2019;2020-05-22 15:04:30.182284;2.0;Story
343;Team S;TUH-206;12/08/2019;2020-05-22 15:04:30.182284;2.0;Story
344;Team S;TUH-205;12/08/2019;2020-05-22 15:04:30.182284;2.0;Story
345;Team S;TUH-204;31/07/2019;2020-05-22 15:04:30.182284;2.0;Story
346;Team S;TUH-203;31/07/2019;2020-05-22 15:04:30.182284;2.0;Story
347;Team S;TUH-202;31/07/2019;2020-05-22 15:04:30.182284;2.0;Story
348;Team S;TUH-195;24/09/2019;2020-05-22 15:04:30.182284;2.0;Story
349;Team S;TUH-194;14/08/2019;2020-05-22 15:04:30.182284;3.0;Story
350;Team S;TUH-193;16/07/2019;2020-05-22 15:04:30.182284;3.0;Story
351;Team S;TUH-192;28/08/2019;2020-05-22 15:04:30.182284;3.0;Story
352;Team S;TUH-191;26/07/2019;2020-05-22 15:04:30.182284;2.0;Story
353;Team S;TUH-190;26/07/2019;2020-05-22 15:04:30.182284;1.0;Story
354;Team S;TUH-189;26/07/2019;2020-05-22 15:04:30.182284;2.0;Story
355;Team S;TUH-188;17/07/2019;2020-05-22 15:04:30.182284;2.0;Story
356;Team S;TUH-122;02/07/2019;2020-05-22 15:04:30.182284;0.0;Story
357;Team S;TUH-120;02/07/2019;2020-05-22 15:04:30.182284;0.0;Story
358;Team S;TUH-119;02/07/2019;2020-05-22 15:04:30.182284;0.0;Story
359;Team S;TUH-118;02/07/2019;2020-05-22 15:04:30.182284;0.0;Story
360;Team S;TUH-54;17/07/2019;2020-05-22 15:04:30.182284;5.0;Story
361;Team O;TUH-52;20/05/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
362;Team O;TUH-49;07/06/2019;2020-05-22 15:04:30.182284;0.5;Ops Task
363;Team S;TUH-47;02/08/2019;2020-05-22 15:04:30.182284;3.0;Story
364;Team O;TUH-45;19/06/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
365;Team O;TUH-44;03/07/2019;2020-05-22 15:04:30.182284;4.0;Ops Task
366;Team S;TUH-43;29/07/2019;2020-05-22 15:04:30.182284;3.0;Story
367;Team S;TUH-42;17/07/2019;2020-05-22 15:04:30.182284;3.0;Story
368;Team S;TUH-41;03/07/2019;2020-05-22 15:04:30.182284;2.0;Story
369;Team S;TUH-40;03/07/2019;2020-05-22 15:04:30.182284;2.0;Story
370;Team M;TUH-38;03/09/2019;2020-05-22 15:04:30.182284;2.0;Story
371;Team S;TUH-36;26/06/2019;2020-05-22 15:04:30.182284;3.0;Story
372;Team S;TUH-35;19/06/2019;2020-05-22 15:04:30.182284;0.5;Story
373;Team S;TUH-34;19/06/2019;2020-05-22 15:04:30.182284;2.0;Story
374;Team S;TUH-32;03/07/2019;2020-05-22 15:04:30.182284;2.0;Story
375;Team S;TUH-31;16/07/2019;2020-05-22 15:04:30.182284;3.0;Story
376;Team S;TUH-29;19/06/2019;2020-05-22 15:04:30.182284;5.0;Story
377;Team S;TUH-26;03/07/2019;2020-05-22 15:04:30.182284;1.0;Story
378;Team S;TUH-25;09/07/2019;2020-05-22 15:04:30.182284;5.0;Story
379;Team S;TUH-24;03/07/2019;2020-05-22 15:04:30.182284;2.0;Story
380;Team S;TUH-22;03/07/2019;2020-05-22 15:04:30.182284;5.0;Story
381;Team S;TUH-21;02/07/2019;2020-05-22 15:04:30.182284;3.0;Story
382;Team S;TUH-20;02/07/2019;2020-05-22 15:04:30.182284;1.0;Story
383;Team O;TUH-14;19/06/2019;2020-05-22 15:04:30.182284;1.0;Ops Task
384;Team O;TUH-13;03/07/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
385;Team O;TUH-11;14/06/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
386;Team O;TUH-5;07/06/2019;2020-05-22 15:04:30.182284;1.0;Ops Task
387;Team O;TUH-4;07/06/2019;2020-05-22 15:04:30.182284;0.5;Ops Task
388;Team O;TUH-3;07/06/2019;2020-05-22 15:04:30.182284;0.5;Ops Task